"GEO_ID","NAME","B19013H_001E","B19013H_001EA","B19013H_001M","B19013H_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)",
"1400000US04013082028","Census Tract 820.28, Maricopa County, Arizona","70227","null","16844","null",
"1400000US04013082203","Census Tract 822.03, Maricopa County, Arizona","86232","null","14070","null",
"1400000US04013082204","Census Tract 822.04, Maricopa County, Arizona","68636","null","23511","null",
"1400000US04013082205","Census Tract 822.05, Maricopa County, Arizona","62656","null","18427","null",
"1400000US04013082206","Census Tract 822.06, Maricopa County, Arizona","76339","null","12014","null",
"1400000US04013082207","Census Tract 822.07, Maricopa County, Arizona","49261","null","6912","null",
"1400000US04013082208","Census Tract 822.08, Maricopa County, Arizona","66406","null","19866","null",
"1400000US04013082209","Census Tract 822.09, Maricopa County, Arizona","66938","null","13879","null",
"1400000US04013082210","Census Tract 822.10, Maricopa County, Arizona","70473","null","12285","null",
"1400000US04013082211","Census Tract 822.11, Maricopa County, Arizona","76375","null","13482","null",
"1400000US04013083000","Census Tract 830, Maricopa County, Arizona","46157","null","10750","null",
"1400000US04013092305","Census Tract 923.05, Maricopa County, Arizona","52022","null","3367","null",
"1400000US04013092306","Census Tract 923.06, Maricopa County, Arizona","66845","null","10013","null",
"1400000US04013092307","Census Tract 923.07, Maricopa County, Arizona","37652","null","17075","null",
"1400000US04013092308","Census Tract 923.08, Maricopa County, Arizona","54017","null","12439","null",
"1400000US04013092309","Census Tract 923.09, Maricopa County, Arizona","59020","null","10067","null",
"1400000US04013092311","Census Tract 923.11, Maricopa County, Arizona","27107","null","9677","null",
"1400000US04013092312","Census Tract 923.12, Maricopa County, Arizona","32546","null","4793","null",
"1400000US04013092401","Census Tract 924.01, Maricopa County, Arizona","39228","null","4217","null",
"1400000US04013092402","Census Tract 924.02, Maricopa County, Arizona","38008","null","6714","null",
"1400000US04013092500","Census Tract 925, Maricopa County, Arizona","35536","null","8944","null",
"1400000US04013092600","Census Tract 926, Maricopa County, Arizona","31450","null","9408","null",
"1400000US04013092705","Census Tract 927.05, Maricopa County, Arizona","36071","null","15520","null",
"1400000US04013092708","Census Tract 927.08, Maricopa County, Arizona","57125","null","10704","null",
"1400000US04013092709","Census Tract 927.09, Maricopa County, Arizona","67917","null","16394","null",
"1400000US04013092710","Census Tract 927.10, Maricopa County, Arizona","76875","null","10812","null",
"1400000US04013092711","Census Tract 927.11, Maricopa County, Arizona","47404","null","14773","null",
"1400000US04013092712","Census Tract 927.12, Maricopa County, Arizona","83363","null","7344","null",
"1400000US04013092713","Census Tract 927.13, Maricopa County, Arizona","85893","null","23463","null",
"1400000US04013092715","Census Tract 927.15, Maricopa County, Arizona","44375","null","30198","null",
"1400000US04013092716","Census Tract 927.16, Maricopa County, Arizona","41360","null","11310","null",
"1400000US04013092717","Census Tract 927.17, Maricopa County, Arizona","75982","null","23289","null",
"1400000US04013092718","Census Tract 927.18, Maricopa County, Arizona","27283","null","21823","null",
"1400000US04013092719","Census Tract 927.19, Maricopa County, Arizona","57601","null","5299","null",
"1400000US04013092720","Census Tract 927.20, Maricopa County, Arizona","70410","null","16222","null",
"1400000US04013092721","Census Tract 927.21, Maricopa County, Arizona","95208","null","20348","null",
"1400000US04013092723","Census Tract 927.23, Maricopa County, Arizona","53365","null","9370","null",
"1400000US04013092724","Census Tract 927.24, Maricopa County, Arizona","43201","null","4005","null",
"1400000US04013092801","Census Tract 928.01, Maricopa County, Arizona","29167","null","18385","null",
"1400000US04013092802","Census Tract 928.02, Maricopa County, Arizona","28311","null","8004","null",
"1400000US04013092900","Census Tract 929, Maricopa County, Arizona","16136","null","2614","null",
"1400000US04013093001","Census Tract 930.01, Maricopa County, Arizona","33565","null","7209","null",
"1400000US04013093002","Census Tract 930.02, Maricopa County, Arizona","26708","null","10599","null",
"1400000US04013093101","Census Tract 931.01, Maricopa County, Arizona","31641","null","15084","null",
"1400000US04013093104","Census Tract 931.04, Maricopa County, Arizona","28750","null","7568","null",
"1400000US04013093105","Census Tract 931.05, Maricopa County, Arizona","20500","null","7378","null",
"1400000US04013093106","Census Tract 931.06, Maricopa County, Arizona","48429","null","16977","null",
"1400000US04013093200","Census Tract 932, Maricopa County, Arizona","38750","null","8866","null",
"1400000US04013103205","Census Tract 1032.05, Maricopa County, Arizona","89673","null","18679","null",
"1400000US04013103206","Census Tract 1032.06, Maricopa County, Arizona","120156","null","20627","null",
"1400000US04013103207","Census Tract 1032.07, Maricopa County, Arizona","119750","null","24765","null",
"1400000US04013103208","Census Tract 1032.08, Maricopa County, Arizona","62609","null","13637","null",
