"GEO_ID","NAME","B19013H_001E","B19013H_001M","B19013H_001MA","B19013H_001EA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)",
"1400000US04013092307","Census Tract 923.07, Maricopa County, Arizona","47031","18877","null","null",
"1400000US04013092308","Census Tract 923.08, Maricopa County, Arizona","51863","12336","null","null",
"1400000US04013092309","Census Tract 923.09, Maricopa County, Arizona","57878","13645","null","null",
"1400000US04013092311","Census Tract 923.11, Maricopa County, Arizona","28068","5402","null","null",
"1400000US04013092312","Census Tract 923.12, Maricopa County, Arizona","31122","7292","null","null",
"1400000US04013092401","Census Tract 924.01, Maricopa County, Arizona","37083","3694","null","null",
"1400000US04013092402","Census Tract 924.02, Maricopa County, Arizona","43977","14708","null","null",
"1400000US04013092500","Census Tract 925, Maricopa County, Arizona","27841","3910","null","null",
"1400000US04013092600","Census Tract 926, Maricopa County, Arizona","21823","18993","null","null",
"1400000US04013092705","Census Tract 927.05, Maricopa County, Arizona","35268","11375","null","null",
"1400000US04013092708","Census Tract 927.08, Maricopa County, Arizona","67222","10585","null","null",
"1400000US04013092709","Census Tract 927.09, Maricopa County, Arizona","57143","13553","null","null",
"1400000US04013092710","Census Tract 927.10, Maricopa County, Arizona","70491","6856","null","null",
"1400000US04013092711","Census Tract 927.11, Maricopa County, Arizona","56667","25589","null","null",
"1400000US04013092712","Census Tract 927.12, Maricopa County, Arizona","65294","15669","null","null",
"1400000US04013092713","Census Tract 927.13, Maricopa County, Arizona","60804","14125","null","null",
"1400000US04013092715","Census Tract 927.15, Maricopa County, Arizona","36097","7291","null","null",
"1400000US04013092716","Census Tract 927.16, Maricopa County, Arizona","41042","15321","null","null",
"1400000US04013092717","Census Tract 927.17, Maricopa County, Arizona","54531","9076","null","null",
"1400000US04013092718","Census Tract 927.18, Maricopa County, Arizona","39950","11034","null","null",
"1400000US04013092719","Census Tract 927.19, Maricopa County, Arizona","52241","9796","null","null",
"1400000US04013092720","Census Tract 927.20, Maricopa County, Arizona","64423","10441","null","null",
"1400000US04013092721","Census Tract 927.21, Maricopa County, Arizona","93750","18125","null","null",
"1400000US04013092723","Census Tract 927.23, Maricopa County, Arizona","61643","15713","null","null",
"1400000US04013092724","Census Tract 927.24, Maricopa County, Arizona","39627","3578","null","null",
"1400000US04013092801","Census Tract 928.01, Maricopa County, Arizona","18472","13418","null","null",
"1400000US04013092802","Census Tract 928.02, Maricopa County, Arizona","24952","7372","null","null",
"1400000US04013092900","Census Tract 929, Maricopa County, Arizona","16429","5517","null","null",
"1400000US04013093001","Census Tract 930.01, Maricopa County, Arizona","33325","4590","null","null",
"1400000US04013093002","Census Tract 930.02, Maricopa County, Arizona","25446","9672","null","null",
"1400000US04013093101","Census Tract 931.01, Maricopa County, Arizona","29250","14481","null","null",
"1400000US04013093104","Census Tract 931.04, Maricopa County, Arizona","22828","5799","null","null",
"1400000US04013093105","Census Tract 931.05, Maricopa County, Arizona","25625","6270","null","null",
"1400000US04013093106","Census Tract 931.06, Maricopa County, Arizona","30000","12229","null","null",
"1400000US04013093200","Census Tract 932, Maricopa County, Arizona","28194","11847","null","null",
"1400000US04013103205","Census Tract 1032.05, Maricopa County, Arizona","92381","18721","null","null",
"1400000US04013103206","Census Tract 1032.06, Maricopa County, Arizona","117500","17359","null","null",
"1400000US04013103207","Census Tract 1032.07, Maricopa County, Arizona","97813","10963","null","null",
"1400000US04013103208","Census Tract 1032.08, Maricopa County, Arizona","58971","14235","null","null",
"1400000US04013103209","Census Tract 1032.09, Maricopa County, Arizona","85724","21770","null","null",
"1400000US04013103210","Census Tract 1032.10, Maricopa County, Arizona","45073","3678","null","null",
"1400000US04013103211","Census Tract 1032.11, Maricopa County, Arizona","84828","11641","null","null",
"1400000US04013103212","Census Tract 1032.12, Maricopa County, Arizona","103810","10344","null","null",
"1400000US04013103214","Census Tract 1032.14, Maricopa County, Arizona","100950","9317","null","null",
"1400000US04013103215","Census Tract 1032.15, Maricopa County, Arizona","91065","7658","null","null",
"1400000US04013103216","Census Tract 1032.16, Maricopa County, Arizona","92587","19302","null","null",
"1400000US04013103217","Census Tract 1032.17, Maricopa County, Arizona","80118","15915","null","null",
