"GEO_ID","NAME","B19301_001E","B19301_001EA","B19301_001M","B19301_001MA",
"1400000US04013092306","Census Tract 923.06, Maricopa County, Arizona","22100","null","2787","null",
"1400000US04013092307","Census Tract 923.07, Maricopa County, Arizona","23796","null","6906","null",
"1400000US04013092308","Census Tract 923.08, Maricopa County, Arizona","21518","null","3498","null",
"1400000US04013092309","Census Tract 923.09, Maricopa County, Arizona","22998","null","3557","null",
"1400000US04013092311","Census Tract 923.11, Maricopa County, Arizona","15430","null","3307","null",
"1400000US04013092312","Census Tract 923.12, Maricopa County, Arizona","19547","null","2704","null",
"1400000US04013092401","Census Tract 924.01, Maricopa County, Arizona","21642","null","6164","null",
"1400000US04013092402","Census Tract 924.02, Maricopa County, Arizona","23758","null","2922","null",
"1400000US04013092500","Census Tract 925, Maricopa County, Arizona","19717","null","2305","null",
"1400000US04013092600","Census Tract 926, Maricopa County, Arizona","8933","null","2245","null",
"1400000US04013092705","Census Tract 927.05, Maricopa County, Arizona","16934","null","1439","null",
"1400000US04013092708","Census Tract 927.08, Maricopa County, Arizona","25610","null","5697","null",
"1400000US04013092709","Census Tract 927.09, Maricopa County, Arizona","24737","null","4634","null",
"1400000US04013092710","Census Tract 927.10, Maricopa County, Arizona","26323","null","2091","null",
"1400000US04013092711","Census Tract 927.11, Maricopa County, Arizona","21409","null","5783","null",
"1400000US04013092712","Census Tract 927.12, Maricopa County, Arizona","24550","null","3863","null",
"1400000US04013092713","Census Tract 927.13, Maricopa County, Arizona","19193","null","1984","null",
"1400000US04013092715","Census Tract 927.15, Maricopa County, Arizona","18142","null","4022","null",
"1400000US04013092716","Census Tract 927.16, Maricopa County, Arizona","18094","null","2578","null",
"1400000US04013092717","Census Tract 927.17, Maricopa County, Arizona","15513","null","2220","null",
"1400000US04013092718","Census Tract 927.18, Maricopa County, Arizona","13314","null","2006","null",
"1400000US04013092719","Census Tract 927.19, Maricopa County, Arizona","26075","null","2652","null",
"1400000US04013092720","Census Tract 927.20, Maricopa County, Arizona","30587","null","3195","null",
"1400000US04013092721","Census Tract 927.21, Maricopa County, Arizona","30809","null","2822","null",
"1400000US04013092723","Census Tract 927.23, Maricopa County, Arizona","29590","null","4318","null",
"1400000US04013092724","Census Tract 927.24, Maricopa County, Arizona","19803","null","2471","null",
"1400000US04013092801","Census Tract 928.01, Maricopa County, Arizona","9486","null","1475","null",
"1400000US04013092802","Census Tract 928.02, Maricopa County, Arizona","10442","null","1160","null",
"1400000US04013092900","Census Tract 929, Maricopa County, Arizona","10535","null","1306","null",
"1400000US04013093001","Census Tract 930.01, Maricopa County, Arizona","16204","null","2114","null",
"1400000US04013093002","Census Tract 930.02, Maricopa County, Arizona","12989","null","2277","null",
"1400000US04013093101","Census Tract 931.01, Maricopa County, Arizona","17989","null","5261","null",
"1400000US04013093104","Census Tract 931.04, Maricopa County, Arizona","11801","null","1321","null",
"1400000US04013093105","Census Tract 931.05, Maricopa County, Arizona","11142","null","1113","null",
"1400000US04013093106","Census Tract 931.06, Maricopa County, Arizona","11446","null","1296","null",
"1400000US04013093200","Census Tract 932, Maricopa County, Arizona","17497","null","4385","null",
"1400000US04013103205","Census Tract 1032.05, Maricopa County, Arizona","42305","null","5228","null",
"1400000US04013103206","Census Tract 1032.06, Maricopa County, Arizona","45006","null","3293","null",
"1400000US04013103207","Census Tract 1032.07, Maricopa County, Arizona","47349","null","6801","null",
"1400000US04013103208","Census Tract 1032.08, Maricopa County, Arizona","43232","null","6852","null",
"1400000US04013103209","Census Tract 1032.09, Maricopa County, Arizona","77707","null","11278","null",
"1400000US04013103210","Census Tract 1032.10, Maricopa County, Arizona","27143","null","2797","null",
"1400000US04013103211","Census Tract 1032.11, Maricopa County, Arizona","43536","null","6079","null",
"1400000US04013103212","Census Tract 1032.12, Maricopa County, Arizona","44021","null","3697","null",
"1400000US04013103214","Census Tract 1032.14, Maricopa County, Arizona","55613","null","10369","null",
"1400000US04013103215","Census Tract 1032.15, Maricopa County, Arizona","40458","null","4847","null",
"1400000US04013103216","Census Tract 1032.16, Maricopa County, Arizona","42366","null","5414","null",
"1400000US04013103217","Census Tract 1032.17, Maricopa County, Arizona","42446","null","6658","null",
"1400000US04013103219","Census Tract 1032.19, Maricopa County, Arizona","63922","null","12885","null",
"1400000US04013103220","Census Tract 1032.20, Maricopa County, Arizona","45467","null","6260","null",
"1400000US04013103302","Census Tract 1033.02, Maricopa County, Arizona","21392","null","2805","null",
"1400000US04013103303","Census Tract 1033.03, Maricopa County, Arizona","31807","null","5125","null",
"1400000US04013103304","Census Tract 1033.04, Maricopa County, Arizona","13921","null","1843","null",
"1400000US04013103305","Census Tract 1033.05, Maricopa County, Arizona","13413","null","1456","null",
"1400000US04013103306","Census Tract 1033.06, Maricopa County, Arizona","13282","null","2047","null",
"1400000US04013103400","Census Tract 1034, Maricopa County, Arizona","27055","null","3703","null",
"1400000US04013103501","Census Tract 1035.01, Maricopa County, Arizona","32683","null","4267","null",
"1400000US04013103502","Census Tract 1035.02, Maricopa County, Arizona","29973","null","2827","null",
"1400000US04013103604","Census Tract 1036.04, Maricopa County, Arizona","26668","null","3091","null",
"1400000US04013103605","Census Tract 1036.05, Maricopa County, Arizona","55111","null","7820","null",
"1400000US04013103606","Census Tract 1036.06, Maricopa County, Arizona","30093","null","3072","null",
"1400000US04013103607","Census Tract 1036.07, Maricopa County, Arizona","41416","null","4482","null",
"1400000US04013103608","Census Tract 1036.08, Maricopa County, Arizona","30675","null","3410","null",
"1400000US04013103609","Census Tract 1036.09, Maricopa County, Arizona","23106","null","2529","null",
