"GEO_ID","NAME","B19301_001E","B19301_001M","B19301_001MA","B19301_001EA",
"1400000US04013092900","Census Tract 929, Maricopa County, Arizona","9362","1569","null","null",
"1400000US04013093001","Census Tract 930.01, Maricopa County, Arizona","12922","1988","null","null",
"1400000US04013093002","Census Tract 930.02, Maricopa County, Arizona","11143","2095","null","null",
"1400000US04013093101","Census Tract 931.01, Maricopa County, Arizona","10356","1546","null","null",
"1400000US04013093104","Census Tract 931.04, Maricopa County, Arizona","10512","1613","null","null",
"1400000US04013093105","Census Tract 931.05, Maricopa County, Arizona","10745","1815","null","null",
"1400000US04013093106","Census Tract 931.06, Maricopa County, Arizona","13615","1911","null","null",
"1400000US04013093200","Census Tract 932, Maricopa County, Arizona","13205","2180","null","null",
"1400000US04013103205","Census Tract 1032.05, Maricopa County, Arizona","43957","5639","null","null",
"1400000US04013103206","Census Tract 1032.06, Maricopa County, Arizona","46614","4610","null","null",
"1400000US04013103207","Census Tract 1032.07, Maricopa County, Arizona","45465","5032","null","null",
"1400000US04013103208","Census Tract 1032.08, Maricopa County, Arizona","40352","8094","null","null",
"1400000US04013103209","Census Tract 1032.09, Maricopa County, Arizona","65465","11152","null","null",
"1400000US04013103210","Census Tract 1032.10, Maricopa County, Arizona","23806","1914","null","null",
"1400000US04013103211","Census Tract 1032.11, Maricopa County, Arizona","40454","6868","null","null",
"1400000US04013103212","Census Tract 1032.12, Maricopa County, Arizona","40933","4061","null","null",
"1400000US04013103214","Census Tract 1032.14, Maricopa County, Arizona","50614","12096","null","null",
"1400000US04013103215","Census Tract 1032.15, Maricopa County, Arizona","38079","4156","null","null",
"1400000US04013103216","Census Tract 1032.16, Maricopa County, Arizona","38324","3439","null","null",
"1400000US04013103217","Census Tract 1032.17, Maricopa County, Arizona","41359","5599","null","null",
"1400000US04013103219","Census Tract 1032.19, Maricopa County, Arizona","47634","7173","null","null",
"1400000US04013103220","Census Tract 1032.20, Maricopa County, Arizona","47671","7109","null","null",
"1400000US04013103302","Census Tract 1033.02, Maricopa County, Arizona","18934","3254","null","null",
"1400000US04013103303","Census Tract 1033.03, Maricopa County, Arizona","29046","4062","null","null",
"1400000US04013103304","Census Tract 1033.04, Maricopa County, Arizona","12592","2021","null","null",
"1400000US04013103305","Census Tract 1033.05, Maricopa County, Arizona","14145","2863","null","null",
"1400000US04013103306","Census Tract 1033.06, Maricopa County, Arizona","11196","1522","null","null",
