"GEO_ID","NAME","B19013B_001M","B19013B_001MA","B19013B_001E","B19013B_001EA",
"1400000US04013113501","Census Tract 1135.01, Maricopa County, Arizona","11232","null","10000","null",
"1400000US04013113502","Census Tract 1135.02, Maricopa County, Arizona","512","null","6500","null",
"1400000US04013113601","Census Tract 1136.01, Maricopa County, Arizona","22593","null","53750","null",
"1400000US04013113602","Census Tract 1136.02, Maricopa County, Arizona","13934","null","30385","null",
"1400000US04013113700","Census Tract 1137, Maricopa County, Arizona","16841","null","24500","null",
"1400000US04013113801","Census Tract 1138.01, Maricopa County, Arizona","32342","null","51641","null",
"1400000US04013113802","Census Tract 1138.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013113900","Census Tract 1139, Maricopa County, Arizona","***","***","2,500-","2,500-",
"1400000US04013114000","Census Tract 1140, Maricopa County, Arizona","1718","null","13059","null",
"1400000US04013114100","Census Tract 1141, Maricopa County, Arizona","57637","null","29432","null",
"1400000US04013114200","Census Tract 1142, Maricopa County, Arizona","73730","null","11607","null",
"1400000US04013114301","Census Tract 1143.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013114302","Census Tract 1143.02, Maricopa County, Arizona","11394","null","15609","null",
"1400000US04013114401","Census Tract 1144.01, Maricopa County, Arizona","181578","null","18125","null",
"1400000US04013114402","Census Tract 1144.02, Maricopa County, Arizona","3047","null","7174","null",
"1400000US04013114500","Census Tract 1145, Maricopa County, Arizona","22818","null","6346","null",
"1400000US04013114600","Census Tract 1146, Maricopa County, Arizona","**","**","-","-",
"1400000US04013114703","Census Tract 1147.03, Maricopa County, Arizona","**","**","-","-",
"1400000US04013114800","Census Tract 1148, Maricopa County, Arizona","14441","null","25893","null",
"1400000US04013114900","Census Tract 1149, Maricopa County, Arizona","***","***","2,500-","2,500-",
"1400000US04013115200","Census Tract 1152, Maricopa County, Arizona","34015","null","25714","null",
"1400000US04013115300","Census Tract 1153, Maricopa County, Arizona","6429","null","14096","null",
"1400000US04013115400","Census Tract 1154, Maricopa County, Arizona","**","**","-","-",
"1400000US04013115500","Census Tract 1155, Maricopa County, Arizona","**","**","-","-",
"1400000US04013115600","Census Tract 1156, Maricopa County, Arizona","8243","null","25217","null",
"1400000US04013115700","Census Tract 1157, Maricopa County, Arizona","9883","null","27861","null",
"1400000US04013115801","Census Tract 1158.01, Maricopa County, Arizona","2961","null","9350","null",
"1400000US04013115802","Census Tract 1158.02, Maricopa County, Arizona","3107","null","23438","null",
"1400000US04013115900","Census Tract 1159, Maricopa County, Arizona","17051","null","22083","null",
"1400000US04013116000","Census Tract 1160, Maricopa County, Arizona","7778","null","26957","null",
"1400000US04013116100","Census Tract 1161, Maricopa County, Arizona","12869","null","21894","null",
"1400000US04013116202","Census Tract 1162.02, Maricopa County, Arizona","44737","null","41771","null",
"1400000US04013116203","Census Tract 1162.03, Maricopa County, Arizona","15632","null","36638","null",
"1400000US04013116204","Census Tract 1162.04, Maricopa County, Arizona","37145","null","50147","null",
"1400000US04013116205","Census Tract 1162.05, Maricopa County, Arizona","11587","null","43125","null",
"1400000US04013116300","Census Tract 1163, Maricopa County, Arizona","19681","null","55000","null",
"1400000US04013116400","Census Tract 1164, Maricopa County, Arizona","14449","null","44881","null",
"1400000US04013116500","Census Tract 1165, Maricopa County, Arizona","44761","null","24250","null",
"1400000US04013116602","Census Tract 1166.02, Maricopa County, Arizona","14667","null","36156","null",
"1400000US04013116603","Census Tract 1166.03, Maricopa County, Arizona","69462","null","64000","null",
"1400000US04013116604","Census Tract 1166.04, Maricopa County, Arizona","35693","null","53056","null",
