"GEO_ID","NAME","B19001D_001E","B19001D_001EA","B19001D_001M","B19001D_001MA","B19001D_002E","B19001D_002EA","B19001D_002M","B19001D_002MA","B19001D_003E","B19001D_003EA","B19001D_003M","B19001D_003MA","B19001D_004E","B19001D_004M","B19001D_004MA","B19001D_004EA","B19001D_005E","B19001D_005M","B19001D_005MA","B19001D_005EA","B19001D_006E","B19001D_006M","B19001D_006MA","B19001D_006EA","B19001D_007E","B19001D_007EA","B19001D_007M","B19001D_007MA","B19001D_008E","B19001D_008EA","B19001D_008M","B19001D_008MA","B19001D_009E","B19001D_009EA","B19001D_009M","B19001D_009MA","B19001D_010E","B19001D_010M","B19001D_010MA","B19001D_010EA","B19001D_011E","B19001D_011M","B19001D_011MA","B19001D_011EA","B19001D_012E","B19001D_012EA","B19001D_012M","B19001D_012MA","B19001D_013E","B19001D_013EA","B19001D_013M","B19001D_013MA","B19001D_014E","B19001D_014EA","B19001D_014M","B19001D_014MA","B19001D_015E","B19001D_015M","B19001D_015MA","B19001D_015EA","B19001D_016E","B19001D_016EA","B19001D_016M","B19001D_016MA","B19001D_017E","B19001D_017M","B19001D_017MA","B19001D_017EA",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","0","null","17","null","0","null","17","null","0","null","17","null","0","17","null","null","0","17","null","null","0","17","null","null","0","null","17","null","0","null","17","null","0","null","17","null","0","17","null","null","0","17","null","null","0","null","17","null","0","null","17","null","0","null","17","null","0","17","null","null","0","null","17","null","0","17","null","null",
"1400000US04003002002","Census Tract 20.02, Cochise County, Arizona","13","null","20","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","13","null","20","null","0","null","12","null","0","12","null","null","0","null","12","null","0","12","null","null",
"1400000US04003002100","Census Tract 21, Cochise County, Arizona","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","0","null","12","null","0","12","null","null",
"1400000US04005000100","Census Tract 1, Coconino County, Arizona","14","null","18","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","6","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","8","null","13","null","0","12","null","null",
"1400000US04005000200","Census Tract 2, Coconino County, Arizona","12","null","18","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","12","null","18","null","0","null","12","null","0","null","12","null","0","12","null","null","0","null","12","null","0","12","null","null",
"1400000US04005000300","Census Tract 3, Coconino County, Arizona","44","null","41","null","0","null","17","null","0","null","17","null","0","17","null","null","14","23","null","null","0","17","null","null","15","null","22","null","0","null","17","null","0","null","17","null","0","17","null","null","0","17","null","null","0","null","17","null","0","null","17","null","15","null","24","null","0","17","null","null","0","null","17","null","0","17","null","null",
"1400000US04005000400","Census Tract 4, Coconino County, Arizona","26","null","29","null","0","null","17","null","0","null","17","null","0","17","null","null","0","17","null","null","0","17","null","null","0","null","17","null","0","null","17","null","0","null","17","null","0","17","null","null","0","17","null","null","21","null","28","null","0","null","17","null","5","null","8","null","0","17","null","null","0","null","17","null","0","17","null","null",
"1400000US04005000500","Census Tract 5, Coconino County, Arizona","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","0","null","12","null","0","12","null","null",
"1400000US04005000600","Census Tract 6, Coconino County, Arizona","57","null","40","null","0","null","17","null","0","null","17","null","0","17","null","null","0","17","null","null","0","17","null","null","0","null","17","null","0","null","17","null","20","null","31","null","0","17","null","null","0","17","null","null","0","null","17","null","0","null","17","null","0","null","17","null","23","27","null","null","0","null","17","null","14","21","null","null",
"1400000US04005000700","Census Tract 7, Coconino County, Arizona","22","null","24","null","0","null","12","null","0","null","12","null","0","12","null","null","5","9","null","null","0","12","null","null","0","null","12","null","0","null","12","null","12","null","20","null","0","12","null","null","0","12","null","null","5","null","8","null","0","null","12","null","0","null","12","null","0","12","null","null","0","null","12","null","0","12","null","null",
"1400000US04005000800","Census Tract 8, Coconino County, Arizona","41","null","69","null","0","null","17","null","0","null","17","null","41","69","null","null","0","17","null","null","0","17","null","null","0","null","17","null","0","null","17","null","0","null","17","null","0","17","null","null","0","17","null","null","0","null","17","null","0","null","17","null","0","null","17","null","0","17","null","null","0","null","17","null","0","17","null","null",
