"GEO_ID","NAME","B19001H_001E","B19001H_001EA","B19001H_001M","B19001H_001MA","B19001H_002E","B19001H_002M","B19001H_002MA","B19001H_002EA","B19001H_003E","B19001H_003M","B19001H_003MA","B19001H_003EA","B19001H_004E","B19001H_004M","B19001H_004MA","B19001H_004EA","B19001H_005E","B19001H_005EA","B19001H_005M","B19001H_005MA","B19001H_006E","B19001H_006M","B19001H_006MA","B19001H_006EA","B19001H_007E","B19001H_007EA","B19001H_007M","B19001H_007MA","B19001H_008E","B19001H_008M","B19001H_008MA","B19001H_008EA","B19001H_009E","B19001H_009M","B19001H_009MA","B19001H_009EA","B19001H_010E","B19001H_010M","B19001H_010MA","B19001H_010EA","B19001H_011E","B19001H_011M","B19001H_011MA","B19001H_011EA","B19001H_012E","B19001H_012M","B19001H_012MA","B19001H_012EA","B19001H_013E","B19001H_013EA","B19001H_013M","B19001H_013MA","B19001H_014E","B19001H_014M","B19001H_014MA","B19001H_014EA","B19001H_015E","B19001H_015M","B19001H_015MA","B19001H_015EA","B19001H_016E","B19001H_016M","B19001H_016MA","B19001H_016EA","B19001H_017E","B19001H_017M","B19001H_017MA","B19001H_017EA",
"1400000US04013618900","Census Tract 6189, Maricopa County, Arizona","2171","null","192","null","115","80","null","null","81","92","null","null","127","103","null","null","132","null","69","null","57","84","null","null","124","null","71","null","51","45","null","null","113","88","null","null","85","65","null","null","241","138","null","null","297","120","null","null","302","null","131","null","198","103","null","null","77","61","null","null","118","72","null","null","53","45","null","null",
"1400000US04013619000","Census Tract 6190, Maricopa County, Arizona","1219","null","97","null","55","53","null","null","51","38","null","null","60","46","null","null","62","null","49","null","31","21","null","null","50","null","45","null","75","40","null","null","73","38","null","null","74","38","null","null","67","36","null","null","119","71","null","null","124","null","63","null","156","66","null","null","81","44","null","null","91","67","null","null","50","36","null","null",
"1400000US04013619100","Census Tract 6191, Maricopa County, Arizona","856","null","121","null","75","52","null","null","59","58","null","null","35","29","null","null","94","null","61","null","58","41","null","null","58","null","60","null","85","60","null","null","51","51","null","null","40","43","null","null","52","46","null","null","55","34","null","null","62","null","33","null","102","55","null","null","30","41","null","null","0","12","null","null","0","12","null","null",
"1400000US04013619200","Census Tract 6192, Maricopa County, Arizona","1188","null","232","null","45","47","null","null","58","76","null","null","57","55","null","null","48","null","56","null","144","109","null","null","33","null","37","null","106","85","null","null","126","84","null","null","56","51","null","null","56","50","null","null","133","105","null","null","141","null","75","null","117","105","null","null","39","49","null","null","0","17","null","null","29","45","null","null",
"1400000US04013619300","Census Tract 6193, Maricopa County, Arizona","1309","null","134","null","145","72","null","null","54","35","null","null","46","30","null","null","121","null","59","null","61","36","null","null","67","null","51","null","54","32","null","null","95","69","null","null","69","35","null","null","193","71","null","null","101","44","null","null","210","null","109","null","38","31","null","null","17","21","null","null","21","21","null","null","17","20","null","null",
"1400000US04013619400","Census Tract 6194, Maricopa County, Arizona","1469","null","142","null","105","57","null","null","45","42","null","null","152","73","null","null","117","null","61","null","40","30","null","null","93","null","70","null","153","81","null","null","39","30","null","null","73","45","null","null","174","84","null","null","97","53","null","null","196","null","86","null","53","38","null","null","48","40","null","null","52","40","null","null","32","34","null","null",
"1400000US04013619500","Census Tract 6195, Maricopa County, Arizona","1377","null","208","null","37","36","null","null","51","56","null","null","34","32","null","null","98","null","77","null","28","30","null","null","24","null","31","null","64","70","null","null","71","50","null","null","27","31","null","null","158","69","null","null","220","99","null","null","279","null","126","null","28","34","null","null","115","93","null","null","131","93","null","null","12","20","null","null",
"1400000US04013619600","Census Tract 6196, Maricopa County, Arizona","643","null","51","null","23","21","null","null","21","20","null","null","4","6","null","null","24","null","21","null","25","19","null","null","20","null","14","null","43","28","null","null","36","28","null","null","32","20","null","null","105","55","null","null","91","39","null","null","72","null","32","null","79","43","null","null","29","26","null","null","30","20","null","null","9","11","null","null",
"1400000US04013619700","Census Tract 6197, Maricopa County, Arizona","1201","null","88","null","47","36","null","null","82","64","null","null","26","23","null","null","90","null","68","null","38","32","null","null","53","null","37","null","15","17","null","null","98","71","null","null","67","54","null","null","63","42","null","null","156","88","null","null","109","null","56","null","139","60","null","null","37","29","null","null","98","44","null","null","83","46","null","null",
"1400000US04013619800","Census Tract 6198, Maricopa County, Arizona","1346","null","159","null","51","41","null","null","19","30","null","null","91","83","null","null","108","null","63","null","40","38","null","null","69","null","53","null","99","87","null","null","0","12","null","null","38","36","null","null","133","88","null","null","102","52","null","null","174","null","70","null","111","79","null","null","103","95","null","null","99","58","null","null","109","75","null","null",
