"GEO_ID","NAME","B19001H_001E","B19001H_001M","B19001H_001MA","B19001H_001EA","B19001H_002E","B19001H_002M","B19001H_002MA","B19001H_002EA","B19001H_003E","B19001H_003M","B19001H_003MA","B19001H_003EA","B19001H_004E","B19001H_004EA","B19001H_004M","B19001H_004MA","B19001H_005E","B19001H_005EA","B19001H_005M","B19001H_005MA","B19001H_006E","B19001H_006M","B19001H_006MA","B19001H_006EA","B19001H_007E","B19001H_007M","B19001H_007MA","B19001H_007EA","B19001H_008E","B19001H_008M","B19001H_008MA","B19001H_008EA","B19001H_009E","B19001H_009EA","B19001H_009M","B19001H_009MA","B19001H_010E","B19001H_010EA","B19001H_010M","B19001H_010MA","B19001H_011E","B19001H_011M","B19001H_011MA","B19001H_011EA","B19001H_012E","B19001H_012M","B19001H_012MA","B19001H_012EA","B19001H_013E","B19001H_013M","B19001H_013MA","B19001H_013EA","B19001H_014E","B19001H_014M","B19001H_014MA","B19001H_014EA","B19001H_015E","B19001H_015EA","B19001H_015M","B19001H_015MA","B19001H_016E","B19001H_016EA","B19001H_016M","B19001H_016MA","B19001H_017E","B19001H_017M","B19001H_017MA","B19001H_017EA",
"1400000US04019004333","Census Tract 43.33, Pima County, Arizona","369","100","null","null","21","27","null","null","0","12","null","null","8","null","14","null","26","null","32","null","31","40","null","null","16","20","null","null","7","10","null","null","0","null","12","null","3","null","6","null","25","25","null","null","93","53","null","null","85","48","null","null","18","23","null","null","0","null","12","null","36","null","36","null","0","12","null","null",
"1400000US04019004334","Census Tract 43.34, Pima County, Arizona","876","191","null","null","44","72","null","null","40","56","null","null","75","null","62","null","14","null","23","null","19","32","null","null","44","54","null","null","62","89","null","null","45","null","48","null","37","null","43","null","53","46","null","null","172","112","null","null","151","113","null","null","84","76","null","null","0","null","17","null","15","null","25","null","21","35","null","null",
"1400000US04019004404","Census Tract 44.04, Pima County, Arizona","1581","171","null","null","42","29","null","null","117","63","null","null","70","null","43","null","142","null","69","null","154","65","null","null","173","89","null","null","144","75","null","null","118","null","63","null","59","null","37","null","98","63","null","null","177","65","null","null","162","82","null","null","76","51","null","null","29","null","24","null","6","null","10","null","14","16","null","null",
"1400000US04019004407","Census Tract 44.07, Pima County, Arizona","443","112","null","null","84","71","null","null","48","59","null","null","19","null","24","null","0","null","17","null","16","25","null","null","88","78","null","null","48","55","null","null","20","null","34","null","0","null","17","null","0","17","null","null","14","20","null","null","75","62","null","null","14","22","null","null","0","null","17","null","17","null","27","null","0","17","null","null",
"1400000US04019004411","Census Tract 44.11, Pima County, Arizona","1516","213","null","null","153","97","null","null","128","100","null","null","112","null","105","null","34","null","55","null","90","83","null","null","90","55","null","null","52","39","null","null","46","null","37","null","13","null","21","null","57","59","null","null","101","75","null","null","242","114","null","null","108","54","null","null","178","null","95","null","36","null","34","null","76","50","null","null",
"1400000US04019004412","Census Tract 44.12, Pima County, Arizona","720","126","null","null","54","47","null","null","25","24","null","null","40","null","38","null","16","null","18","null","73","52","null","null","7","11","null","null","24","22","null","null","45","null","30","null","38","null","54","null","72","38","null","null","61","45","null","null","137","65","null","null","49","33","null","null","26","null","21","null","46","null","40","null","7","12","null","null",
"1400000US04019004413","Census Tract 44.13, Pima County, Arizona","688","87","null","null","24","25","null","null","9","13","null","null","27","null","25","null","52","null","38","null","31","25","null","null","24","22","null","null","36","26","null","null","10","null","15","null","52","null","41","null","32","25","null","null","25","24","null","null","118","50","null","null","179","70","null","null","43","null","33","null","26","null","24","null","0","12","null","null",
"1400000US04019004414","Census Tract 44.14, Pima County, Arizona","437","103","null","null","18","23","null","null","0","12","null","null","16","null","18","null","75","null","58","null","23","32","null","null","35","49","null","null","23","21","null","null","27","null","26","null","17","null","16","null","50","29","null","null","26","26","null","null","65","46","null","null","46","39","null","null","16","null","18","null","0","null","12","null","0","12","null","null",
"1400000US04019004415","Census Tract 44.15, Pima County, Arizona","309","64","null","null","14","16","null","null","3","6","null","null","25","null","18","null","14","null","14","null","22","19","null","null","14","14","null","null","8","11","null","null","15","null","16","null","14","null","16","null","26","17","null","null","52","40","null","null","66","36","null","null","12","15","null","null","24","null","22","null","0","null","12","null","0","12","null","null",
"1400000US04019004418","Census Tract 44.18, Pima County, Arizona","975","94","null","null","28","25","null","null","23","27","null","null","0","null","12","null","19","null","21","null","28","26","null","null","47","32","null","null","72","44","null","null","22","null","20","null","9","null","14","null","46","29","null","null","94","51","null","null","205","64","null","null","74","41","null","null","79","null","43","null","124","null","66","null","105","43","null","null",
"1400000US04019004419","Census Tract 44.19, Pima County, Arizona","1741","189","null","null","198","135","null","null","198","109","null","null","77","null","47","null","87","null","81","null","102","63","null","null","46","37","null","null","86","84","null","null","55","null","45","null","35","null","41","null","213","118","null","null","268","90","null","null","153","75","null","null","129","92","null","null","49","null","45","null","45","null","34","null","0","12","null","null",
"1400000US04019004421","Census Tract 44.21, Pima County, Arizona","1882","173","null","null","97","97","null","null","151","123","null","null","36","null","40","null","134","null","85","null","132","108","null","null","102","108","null","null","109","96","null","null","68","null","54","null","118","null","72","null","278","114","null","null","178","94","null","null","219","107","null","null","200","143","null","null","19","null","33","null","24","null","27","null","17","28","null","null",
"1400000US04019004422","Census Tract 44.22, Pima County, Arizona","1132","175","null","null","50","45","null","null","75","50","null","null","27","null","33","null","15","null","25","null","14","23","null","null","49","41","null","null","44","70","null","null","86","null","69","null","90","null","74","null","79","59","null","null","129","76","null","null","126","63","null","null","165","96","null","null","74","null","82","null","45","null","53","null","64","62","null","null",
"1400000US04019004423","Census Tract 44.23, Pima County, Arizona","1506","120","null","null","179","101","null","null","58","43","null","null","85","null","63","null","30","null","24","null","61","47","null","null","69","58","null","null","90","50","null","null","105","null","69","null","79","null","56","null","172","92","null","null","144","77","null","null","171","59","null","null","54","37","null","null","102","null","73","null","56","null","38","null","51","51","null","null",
