"GEO_ID","NAME","B19001H_001E","B19001H_001EA","B19001H_001M","B19001H_001MA","B19001H_002E","B19001H_002M","B19001H_002MA","B19001H_002EA","B19001H_003E","B19001H_003EA","B19001H_003M","B19001H_003MA","B19001H_004E","B19001H_004M","B19001H_004MA","B19001H_004EA","B19001H_005E","B19001H_005EA","B19001H_005M","B19001H_005MA","B19001H_006E","B19001H_006EA","B19001H_006M","B19001H_006MA","B19001H_007E","B19001H_007EA","B19001H_007M","B19001H_007MA","B19001H_008E","B19001H_008EA","B19001H_008M","B19001H_008MA","B19001H_009E","B19001H_009M","B19001H_009MA","B19001H_009EA","B19001H_010E","B19001H_010EA","B19001H_010M","B19001H_010MA","B19001H_011E","B19001H_011EA","B19001H_011M","B19001H_011MA","B19001H_012E","B19001H_012EA","B19001H_012M","B19001H_012MA","B19001H_013E","B19001H_013EA","B19001H_013M","B19001H_013MA","B19001H_014E","B19001H_014EA","B19001H_014M","B19001H_014MA","B19001H_015E","B19001H_015M","B19001H_015MA","B19001H_015EA","B19001H_016E","B19001H_016EA","B19001H_016M","B19001H_016MA","B19001H_017E","B19001H_017EA","B19001H_017M","B19001H_017MA",
"1400000US04013319202","Census Tract 3192.02, Maricopa County, Arizona","1064","null","166","null","282","93","null","null","38","null","35","null","126","67","null","null","27","null","24","null","86","null","57","null","64","null","44","null","105","null","82","null","34","24","null","null","9","null","14","null","26","null","33","null","145","null","75","null","84","null","51","null","13","null","15","null","14","15","null","null","11","null","15","null","0","null","12","null",
"1400000US04013319300","Census Tract 3193, Maricopa County, Arizona","710","null","103","null","90","61","null","null","39","null","50","null","109","60","null","null","75","null","62","null","52","null","50","null","36","null","41","null","42","null","33","null","39","29","null","null","32","null","29","null","10","null","15","null","60","null","59","null","86","null","63","null","30","null","44","null","0","12","null","null","10","null","16","null","0","null","12","null",
"1400000US04013319401","Census Tract 3194.01, Maricopa County, Arizona","1926","null","142","null","18","30","null","null","71","null","58","null","171","121","null","null","116","null","123","null","34","null","32","null","78","null","53","null","98","null","84","null","105","62","null","null","142","null","80","null","200","null","134","null","149","null","76","null","186","null","93","null","171","null","95","null","148","93","null","null","134","null","79","null","105","null","90","null",
"1400000US04013319402","Census Tract 3194.02, Maricopa County, Arizona","1213","null","119","null","47","34","null","null","32","null","28","null","0","12","null","null","49","null","49","null","13","null","17","null","41","null","40","null","73","null","65","null","37","30","null","null","17","null","20","null","102","null","48","null","143","null","57","null","333","null","109","null","124","null","64","null","81","47","null","null","102","null","40","null","19","null","20","null",
"1400000US04013319403","Census Tract 3194.03, Maricopa County, Arizona","1338","null","148","null","151","88","null","null","7","null","11","null","31","29","null","null","42","null","31","null","53","null","33","null","79","null","57","null","70","null","47","null","85","52","null","null","73","null","60","null","61","null","44","null","131","null","63","null","174","null","88","null","246","null","100","null","49","31","null","null","27","null","22","null","59","null","44","null",
"1400000US04013319404","Census Tract 3194.04, Maricopa County, Arizona","1297","null","124","null","16","18","null","null","42","null","30","null","103","73","null","null","38","null","27","null","27","null","41","null","118","null","69","null","70","null","43","null","121","75","null","null","59","null","29","null","101","null","47","null","185","null","82","null","183","null","73","null","96","null","48","null","38","32","null","null","78","null","40","null","22","null","21","null",
"1400000US04013319500","Census Tract 3195, Maricopa County, Arizona","1576","null","212","null","162","129","null","null","75","null","69","null","44","62","null","null","67","null","65","null","117","null","98","null","105","null","74","null","79","null","62","null","82","72","null","null","56","null","54","null","68","null","57","null","211","null","117","null","147","null","141","null","157","null","102","null","93","82","null","null","84","null","90","null","29","null","32","null",
"1400000US04013319600","Census Tract 3196, Maricopa County, Arizona","1851","null","165","null","184","120","null","null","133","null","107","null","50","81","null","null","23","null","26","null","48","null","66","null","55","null","50","null","33","null","37","null","126","103","null","null","134","null","98","null","81","null","53","null","184","null","106","null","346","null","151","null","72","null","64","null","90","75","null","null","166","null","96","null","126","null","94","null",
"1400000US04013319703","Census Tract 3197.03, Maricopa County, Arizona","1375","null","210","null","124","81","null","null","132","null","84","null","29","34","null","null","73","null","47","null","39","null","38","null","67","null","49","null","58","null","48","null","201","104","null","null","17","null","27","null","72","null","55","null","260","null","127","null","171","null","88","null","27","null","29","null","73","95","null","null","32","null","38","null","0","null","12","null",
"1400000US04013319704","Census Tract 3197.04, Maricopa County, Arizona","358","null","54","null","42","28","null","null","11","null","10","null","11","13","null","null","17","null","15","null","10","null","10","null","11","null","11","null","18","null","15","null","3","6","null","null","4","null","6","null","28","null","19","null","38","null","23","null","63","null","34","null","41","null","35","null","0","12","null","null","40","null","26","null","21","null","24","null",
