"GEO_ID","NAME","B19001H_001E","B19001H_001M","B19001H_001MA","B19001H_001EA","B19001H_002E","B19001H_002EA","B19001H_002M","B19001H_002MA","B19001H_003E","B19001H_003EA","B19001H_003M","B19001H_003MA","B19001H_004E","B19001H_004EA","B19001H_004M","B19001H_004MA","B19001H_005E","B19001H_005EA","B19001H_005M","B19001H_005MA","B19001H_006E","B19001H_006M","B19001H_006MA","B19001H_006EA","B19001H_007E","B19001H_007M","B19001H_007MA","B19001H_007EA","B19001H_008E","B19001H_008EA","B19001H_008M","B19001H_008MA","B19001H_009E","B19001H_009EA","B19001H_009M","B19001H_009MA","B19001H_010E","B19001H_010EA","B19001H_010M","B19001H_010MA","B19001H_011E","B19001H_011M","B19001H_011MA","B19001H_011EA","B19001H_012E","B19001H_012M","B19001H_012MA","B19001H_012EA","B19001H_013E","B19001H_013EA","B19001H_013M","B19001H_013MA","B19001H_014E","B19001H_014EA","B19001H_014M","B19001H_014MA","B19001H_015E","B19001H_015EA","B19001H_015M","B19001H_015MA","B19001H_016E","B19001H_016EA","B19001H_016M","B19001H_016MA","B19001H_017E","B19001H_017M","B19001H_017MA","B19001H_017EA",
"1400000US04019004063","Census Tract 40.63, Pima County, Arizona","1404","150","null","null","17","null","20","null","17","null","27","null","0","null","13","null","62","null","86","null","0","13","null","null","9","15","null","null","36","null","35","null","73","null","71","null","76","null","79","null","167","173","null","null","208","105","null","null","217","null","85","null","198","null","84","null","143","null","80","null","78","null","47","null","103","61","null","null",
"1400000US04019004064","Census Tract 40.64, Pima County, Arizona","2123","165","null","null","16","null","27","null","12","null","18","null","0","null","19","null","55","null","67","null","49","45","null","null","84","70","null","null","12","null","21","null","57","null","48","null","59","null","71","null","203","102","null","null","97","57","null","null","365","null","142","null","539","null","170","null","180","null","92","null","211","null","102","null","184","113","null","null",
"1400000US04019004065","Census Tract 40.65, Pima County, Arizona","980","120","null","null","18","null","30","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","21","35","null","null","47","null","57","null","39","null","41","null","111","null","75","null","101","71","null","null","41","35","null","null","187","null","90","null","262","null","156","null","106","null","80","null","47","null","46","null","0","13","null","null",
"1400000US04019004066","Census Tract 40.66, Pima County, Arizona","771","105","null","null","0","null","13","null","20","null","23","null","0","null","13","null","0","null","13","null","0","13","null","null","19","30","null","null","13","null","20","null","49","null","39","null","26","null","41","null","106","78","null","null","109","62","null","null","160","null","70","null","189","null","89","null","62","null","57","null","18","null","22","null","0","13","null","null",
"1400000US04019004067","Census Tract 40.67, Pima County, Arizona","995","188","null","null","133","null","104","null","47","null","44","null","73","null","53","null","128","null","97","null","63","52","null","null","53","47","null","null","103","null","95","null","61","null","48","null","32","null","30","null","27","31","null","null","108","112","null","null","91","null","47","null","58","null","59","null","11","null","17","null","7","null","11","null","0","13","null","null",
"1400000US04019004068","Census Tract 40.68, Pima County, Arizona","1556","198","null","null","205","null","120","null","118","null","58","null","93","null","83","null","156","null","137","null","72","57","null","null","43","40","null","null","67","null","68","null","76","null","52","null","62","null","62","null","126","85","null","null","146","93","null","null","103","null","64","null","105","null","70","null","142","null","72","null","14","null","22","null","28","37","null","null",
"1400000US04019004069","Census Tract 40.69, Pima County, Arizona","1352","171","null","null","168","null","100","null","45","null","43","null","63","null","52","null","79","null","56","null","98","58","null","null","149","96","null","null","15","null","23","null","130","null","83","null","65","null","47","null","117","70","null","null","144","90","null","null","205","null","96","null","50","null","50","null","24","null","25","null","0","null","13","null","0","13","null","null",
"1400000US04019004070","Census Tract 40.70, Pima County, Arizona","959","160","null","null","29","null","28","null","70","null","53","null","45","null","46","null","42","null","44","null","74","74","null","null","94","66","null","null","77","null","71","null","114","null","90","null","22","null","25","null","15","23","null","null","143","83","null","null","107","null","76","null","61","null","55","null","54","null","64","null","0","null","13","null","12","19","null","null",
"1400000US04019004071","Census Tract 40.71, Pima County, Arizona","1923","207","null","null","217","null","111","null","247","null","117","null","152","null","93","null","262","null","131","null","187","78","null","null","99","79","null","null","171","null","97","null","58","null","46","null","144","null","105","null","121","65","null","null","104","61","null","null","106","null","60","null","23","null","36","null","32","null","35","null","0","null","13","null","0","13","null","null",
"1400000US04019004072","Census Tract 40.72, Pima County, Arizona","838","90","null","null","43","null","36","null","35","null","36","null","37","null","37","null","66","null","50","null","5","9","null","null","41","34","null","null","62","null","41","null","53","null","46","null","21","null","21","null","145","94","null","null","117","60","null","null","119","null","74","null","48","null","56","null","35","null","38","null","11","null","18","null","0","13","null","null",
"1400000US04019004073","Census Tract 40.73, Pima County, Arizona","1325","140","null","null","0","null","19","null","11","null","18","null","48","null","46","null","0","null","19","null","15","22","null","null","15","23","null","null","38","null","33","null","36","null","56","null","88","null","84","null","75","52","null","null","152","88","null","null","257","null","101","null","222","null","98","null","300","null","189","null","60","null","56","null","8","13","null","null",
"1400000US04019004074","Census Tract 40.74, Pima County, Arizona","468","68","null","null","47","null","64","null","0","null","13","null","21","null","31","null","45","null","51","null","0","13","null","null","12","18","null","null","3","null","7","null","0","null","13","null","61","null","67","null","28","25","null","null","68","44","null","null","80","null","50","null","37","null","34","null","61","null","42","null","5","null","7","null","0","13","null","null",
"1400000US04019004107","Census Tract 41.07, Pima County, Arizona","2227","167","null","null","68","null","71","null","45","null","38","null","33","null","30","null","48","null","45","null","25","29","null","null","38","34","null","null","39","null","35","null","72","null","54","null","26","null","28","null","191","77","null","null","336","117","null","null","383","null","115","null","412","null","123","null","212","null","77","null","136","null","72","null","163","67","null","null",
"1400000US04019004109","Census Tract 41.09, Pima County, Arizona","1554","133","null","null","51","null","44","null","88","null","68","null","42","null","48","null","92","null","57","null","75","52","null","null","113","68","null","null","59","null","43","null","51","null","50","null","50","null","46","null","161","79","null","null","218","115","null","null","250","null","98","null","119","null","59","null","76","null","54","null","95","null","57","null","14","21","null","null",
"1400000US04019004110","Census Tract 41.10, Pima County, Arizona","113","66","null","null","0","null","13","null","18","null","26","null","0","null","13","null","13","null","19","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","12","20","null","null","32","null","31","null","38","null","56","null","0","null","13","null","0","null","13","null","0","13","null","null",
