"GEO_ID","NAME","B25001_001M","B25001_001MA","B25001_001E","B25001_001EA",
"Geography","Geographic Area Name","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total","Annotation of Estimate!!Total",
"1400000US04013061026","Census Tract 610.26, Maricopa County, Arizona","55","null","1655","null",
"1400000US04013061027","Census Tract 610.27, Maricopa County, Arizona","43","null","2102","null",
"1400000US04013061028","Census Tract 610.28, Maricopa County, Arizona","20","null","809","null",
"1400000US04013061029","Census Tract 610.29, Maricopa County, Arizona","46","null","2002","null",
"1400000US04013061030","Census Tract 610.30, Maricopa County, Arizona","93","null","2286","null",
"1400000US04013061031","Census Tract 610.31, Maricopa County, Arizona","100","null","649","null",
"1400000US04013061032","Census Tract 610.32, Maricopa County, Arizona","47","null","1809","null",
"1400000US04013061033","Census Tract 610.33, Maricopa County, Arizona","44","null","2084","null",
"1400000US04013061034","Census Tract 610.34, Maricopa County, Arizona","75","null","2040","null",
"1400000US04013061035","Census Tract 610.35, Maricopa County, Arizona","66","null","2203","null",
"1400000US04013061036","Census Tract 610.36, Maricopa County, Arizona","100","null","663","null",
"1400000US04013061037","Census Tract 610.37, Maricopa County, Arizona","106","null","1105","null",
"1400000US04013061038","Census Tract 610.38, Maricopa County, Arizona","30","null","1469","null",
"1400000US04013061039","Census Tract 610.39, Maricopa County, Arizona","60","null","1161","null",
"1400000US04013061040","Census Tract 610.40, Maricopa County, Arizona","50","null","1225","null",
"1400000US04013061041","Census Tract 610.41, Maricopa County, Arizona","49","null","1175","null",
"1400000US04013061042","Census Tract 610.42, Maricopa County, Arizona","121","null","862","null",
"1400000US04013061043","Census Tract 610.43, Maricopa County, Arizona","29","null","660","null",
"1400000US04013061044","Census Tract 610.44, Maricopa County, Arizona","144","null","1506","null",
"1400000US04013061045","Census Tract 610.45, Maricopa County, Arizona","138","null","1574","null",
"1400000US04013061046","Census Tract 610.46, Maricopa County, Arizona","64","null","2279","null",
"1400000US04013061047","Census Tract 610.47, Maricopa County, Arizona","97","null","1005","null",
"1400000US04013061100","Census Tract 611, Maricopa County, Arizona","109","null","612","null",
