"GEO_ID","NAME","B19001C_001E","B19001C_001M","B19001C_001MA","B19001C_001EA","B19001C_002E","B19001C_002M","B19001C_002MA","B19001C_002EA","B19001C_003E","B19001C_003M","B19001C_003MA","B19001C_003EA","B19001C_004E","B19001C_004EA","B19001C_004M","B19001C_004MA","B19001C_005E","B19001C_005EA","B19001C_005M","B19001C_005MA","B19001C_006E","B19001C_006M","B19001C_006MA","B19001C_006EA","B19001C_007E","B19001C_007EA","B19001C_007M","B19001C_007MA","B19001C_008E","B19001C_008M","B19001C_008MA","B19001C_008EA","B19001C_009E","B19001C_009M","B19001C_009MA","B19001C_009EA","B19001C_010E","B19001C_010EA","B19001C_010M","B19001C_010MA","B19001C_011E","B19001C_011EA","B19001C_011M","B19001C_011MA","B19001C_012E","B19001C_012EA","B19001C_012M","B19001C_012MA","B19001C_013E","B19001C_013M","B19001C_013MA","B19001C_013EA","B19001C_014E","B19001C_014M","B19001C_014MA","B19001C_014EA","B19001C_015E","B19001C_015EA","B19001C_015M","B19001C_015MA","B19001C_016E","B19001C_016EA","B19001C_016M","B19001C_016MA","B19001C_017E","B19001C_017EA","B19001C_017M","B19001C_017MA",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","21","23","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","9","null","16","null","12","null","15","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","65","56","null","null","0","13","null","null","23","38","null","null","0","null","13","null","16","null","26","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","26","null","36","null","0","null","13","null",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","69","52","null","null","21","34","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","30","46","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","18","35","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003001800","Census Tract 18, Cochise County, Arizona","12","17","null","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","12","17","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","0","19","null","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003002002","Census Tract 20.02, Cochise County, Arizona","10","17","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","10","null","17","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003002100","Census Tract 21, Cochise County, Arizona","13","19","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","13","null","19","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04005000100","Census Tract 1, Coconino County, Arizona","55","63","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","7","11","null","null","0","13","null","null","0","null","13","null","38","null","57","null","0","null","13","null","10","16","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04005000200","Census Tract 2, Coconino County, Arizona","120","75","null","null","27","45","null","null","9","14","null","null","11","null","18","null","0","null","13","null","23","36","null","null","0","null","13","null","0","13","null","null","44","50","null","null","0","null","13","null","6","null","11","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04005000300","Census Tract 3, Coconino County, Arizona","541","174","null","null","13","20","null","null","105","102","null","null","14","null","22","null","68","null","77","null","50","63","null","null","135","null","136","null","82","64","null","null","0","19","null","null","0","null","19","null","13","null","20","null","27","null","31","null","34","53","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null",
"1400000US04005000400","Census Tract 4, Coconino County, Arizona","123","64","null","null","12","20","null","null","13","23","null","null","0","null","19","null","0","null","19","null","10","16","null","null","26","null","34","null","0","19","null","null","0","19","null","null","10","null","15","null","0","null","19","null","14","null","23","null","38","53","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null",
"1400000US04005000500","Census Tract 5, Coconino County, Arizona","184","80","null","null","0","13","null","null","0","13","null","null","0","null","13","null","26","null","40","null","0","13","null","null","27","null","43","null","0","13","null","null","8","16","null","null","9","null","17","null","0","null","13","null","19","null","33","null","40","27","null","null","44","57","null","null","11","null","17","null","0","null","13","null","0","null","13","null",
"1400000US04005000600","Census Tract 6, Coconino County, Arizona","181","56","null","null","31","36","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","19","null","null","0","19","null","null","31","null","57","null","0","null","19","null","0","null","19","null","14","23","null","null","74","62","null","null","31","null","42","null","0","null","19","null","0","null","19","null",
"1400000US04005000700","Census Tract 7, Coconino County, Arizona","56","53","null","null","0","13","null","null","2","10","null","null","6","null","12","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","29","47","null","null","0","null","13","null","0","null","13","null","0","null","13","null","19","21","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04005000800","Census Tract 8, Coconino County, Arizona","155","73","null","null","18","21","null","null","8","13","null","null","21","null","33","null","0","null","13","null","18","25","null","null","65","null","50","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","14","null","19","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","11","null","17","null",
